Source,Target
HNF4A,SRY
HNF4A,NR1H4
HNF4A,TLX1
HNF4A,WT1
HNF4A,PAX8
HNF4A,POU6F1
HNF4A,SOX4
HNF4A,ZNF397
HNF4A,TCF24
HNF4A,ZNF365
HNF4A,PLSCR1
HNF4A,POU5F2
HNF4A,ZNF852
HNF4A,ZNF578
HNF4A,PAX8
HNF4A,RORA
HNF4A,NR5A2
HNF4A,TFAP2C
HNF4A,ZFP42
HNF4A,NKX1-1
HNF4A,RARB
HNF4A,SP100
HNF4A,HOXB9
HNF4A,ZNF595
HNF4A,ZNF585B
HNF4A,SPIC
HNF4A,KMT2B
HNF4A,HOXC10
HNF4A,TP63
HNF4A,TP63
HNF4A,RFX6
HNF4A,ZSCAN4
MYCN,TBX22
MYCN,TBX1
MYCN,RARG
MYCN,NFIX
MYCN,ZBED2
MYCN,ZNF517
MYCN,RREB1
MYCN,ZNF280A
MYCN,PAX3
MYCN,ZNF672
MYCN,TFAP2A
MYCN,TCF21
MYCN,NR1I2
MYCN,TCF21
MYCN,ZNF99
MYCN,SMAD4
MYCN,SOX5
MYCN,SCML4
MYCN,POU2F3
MYCN,ZFP42
MYCN,NR2F6
MYCN,SHOX2
MYCN,PRDM15
MYCN,NR5A2
MYCN,NFATC2
MYCN,ZNF782
MYCN,ZKSCAN3
MYCN,SRY
MYCN,NR1H4
MYCN,POU6F1
MYCN,PAX8
MYCN,RARB
DLX4,SCML4
DLX4,USF3
DLX4,PGR
DLX4,NR1H4
DLX4,TCF21
DLX4,TBX22
DLX4,ZNF215
DLX4,HNF4A
DLX4,MYCN
DLX4,IKZF1
DLX4,TBX1
DLX4,HOXD10
DLX4,EBF2
DLX4,PHOX2B
DLX4,RARG
DLX4,ZNF560
DLX4,OTP
DLX4,ZNF750
DLX4,ZNF518B
DLX4,ZBTB10
DLX4,ZNF28
DLX4,HOXD3
DLX4,SP7
DLX4,DMRT3
DLX4,VENTX
DLX4,ZNF181
DLX4,NFIX
DLX4,ZNF579
DLX4,LHX4
DLX4,MYB
DLX4,ZFP57
DLX4,POU1F1
DLX4,GLI4
DLX4,ZNF800
DLX4,TFAP2A
DLX4,ZIM3
DLX4,FIGLA
DLX4,ZBED2
DLX4,MBD2
DLX4,RREB1
DLX4,IKZF3
DLX4,HOXD10
DLX4,GATA3
DLX4,ZNF625
DLX4,GATA3
DLX4,TBX3
DLX4,TP63
DLX4,RARB
DLX4,ESR2
DLX4,ISX
DLX4,NR1I3
DLX4,ZNF280A
DLX4,ZSCAN12
DLX4,PAX3
DLX4,ETS2
DLX4,GLI4
DLX4,ZKSCAN3
DLX4,TBX18
DLX4,HOXB1
DLX4,ZNF672
DLX4,ZNF492
DLX4,ELF5
DLX4,TFAP2A
DLX4,FOXA1
DLX4,SRCAP
DLX4,GFI1B
DLX4,PRDM14
DLX4,ELF3
DLX4,TCF21
DLX4,ZNF429
DLX4,ZNF391
DLX4,HOXD12
DLX4,ZNF316
DLX4,TLX3
DLX4,LHX4
DLX4,JRK
DLX4,GATA5
DLX4,NCOA3
DLX4,PAX3
DLX4,HOXD3
DLX4,NEUROG1
DLX4,PAX9
DLX4,IRF4
DLX4,ZSCAN30
DLX4,HOXA11
DLX4,PRDM13
DLX4,FOXK1
DLX4,HOXA13
DLX4,ESRRB
DLX4,ZNF543
DLX4,NR5A2
DLX4,SCML4
DLX4,FOXR2
DLX4,NR1I2
